name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,23541.26890769529,1.6
2_DecisionTree,Decision Tree,rmse,10272.12241204995,14.22
3_Default_Xgboost,Xgboost,rmse,6788.416624318153,153.07
4_Default_NeuralNetwork,Neural Network,rmse,20000.0468293423,6.63
5_Default_RandomForest,Random Forest,rmse,10616.609687548938,23.44
Ensemble,Ensemble,rmse,6283.468159945517,0.36
